,0
2023-07-24,0.0
2023-07-25,19.999999999999996
2023-07-26,34.64101615137754
2023-07-27,40.0
2023-07-28,34.64101615137755
2023-07-29,20.000000000000014
2023-07-30,4.898587196589413e-15
2023-07-31,-19.99999999999999
2023-08-01,-34.64101615137754
2023-08-02,-40.0
2023-08-03,-34.64101615137756
2023-08-04,-20.000000000000018
2023-08-05,-9.797174393178826e-15
2023-08-06,19.99999999999997
2023-08-07,34.641016151377535
2023-08-08,40.0
2023-08-09,34.64101615137756
2023-08-10,20.000000000000053
2023-08-11,1.4695761589768237e-14
2023-08-12,-19.999999999999968
2023-08-13,-34.641016151377514
2023-08-14,-40.0
2023-08-15,-34.64101615137756
2023-08-16,-20.000000000000057
2023-08-17,-1.9594348786357652e-14
2023-08-18,19.99999999999996
2023-08-19,34.641016151377514
2023-08-20,40.0
2023-08-21,34.64101615137757
2023-08-22,20.000000000000064
2023-08-23,9.554720955895707e-14
2023-08-24,-19.999999999999957
2023-08-25,-34.64101615137751
2023-08-26,-40.0
2023-08-27,-34.641016151377606
2023-08-28,-20.000000000000128
2023-08-29,-2.9391523179536473e-14
2023-08-30,19.999999999999954
2023-08-31,34.64101615137751
2023-09-01,40.0
2023-09-02,34.64101615137761
2023-09-03,20.000000000000135
2023-09-04,3.429011037612589e-14
2023-09-05,-19.99999999999995
2023-09-06,-34.64101615137751
2023-09-07,-40.0
2023-09-08,-34.64101615137761
2023-09-09,-20.00000000000014
2023-09-10,-3.9188697572715304e-14
2023-09-11,19.999999999999943
2023-09-12,34.6410161513775
2023-09-13,40.0
2023-09-14,34.64101615137761
2023-09-15,20.00000000000014
2023-09-16,1.8619583192132474e-13
2023-09-17,-19.99999999999994
2023-09-18,-34.6410161513775
2023-09-19,-40.0
2023-09-20,-34.64101615137761
2023-09-21,-20.000000000000142
2023-09-22,-1.9109441911791415e-13
2023-09-23,19.999999999999936
2023-09-24,34.64101615137749
2023-09-25,40.0
2023-09-26,34.64101615137762
2023-09-27,20.00000000000003
2023-09-28,1.9599300631450355e-13
2023-09-29,-19.999999999999932
2023-09-30,-34.64101615137742
2023-10-01,-40.0
